Temperature,GDP_ppp
12.60,2456.00
11.40,17858.00
22.50,13324.00
7.60,65372.00
21.55,7455.00
25.85,22070.00
14.80,26074.00
7.15,16798.00
21.65,62192.00
6.35,66680.00
11.95,17448.00
24.85,39785.00
26.80,57921.00
25.00,7985.00
26.00,17314.00
6.15,21709.00
9.55,62065.00
25.35,9623.00
27.55,4183.00
7.40,13077.00
21.55,9933.00
9.85,17899.00
21.50,19199.00
24.95,17684.00
26.85,74196.00
10.55,29178.00
28.29,2656.00
19.80,865.00
26.80,5583.00
24.60,4419.00
-5.10,57827.00
23.30,8460.00
26.55,1719.00
8.45,28887.00
7.50,21291.00
24.50,18693.00
25.30,3364.00
24.80,24837.00
10.90,37550.00
25.20,12300.00
18.45,49504.00
7.55,48919.00
-3.70,69845.00
28.00,6514.00
22.35,13030.00
24.55,24120.00
21.85,12763.00
22.10,15959.00
24.45,10576.00
24.55,19433.00
25.50,2078.00
2.00,46126.00
21.40,11054.00
22.20,3434.00
24.40,13944.00
1.55,58659.00
10.70,56200.00
25.05,18088.00
27.50,2640.00
5.65,19789.00
8.40,63835.00
27.20,6780.00
15.40,36466.00
26.00,18436.00
23.45,9931.00
25.70,2993.00
26.75,2851.00
26.00,42647.00
24.90,3166.00
23.50,6769.00
21.45,69987.00
9.75,42132.00
-0.70,66467.00
23.65,8293.00
25.85,14638.00
17.25,18663.00
21.40,12408.00
9.30,131034.00
19.20,52173.00
13.45,51062.00
26.35,6397.00
24.95,11962.00
11.15,48813.00
18.30,11975.00
5.50,30827.00
24.75,6122.00
28.20,2165.00
27.15,51528.00
2.10,5771.00
22.80,9166.00
5.60,38124.00
15.00,11377.00
11.85,3028.00
25.30,1667.00
21.80,18945.00
5.80,139100.00
6.20,46159.00
8.65,141587.00
22.65,1790.00
21.90,1588.00
25.40,33113.00
28.00,30888.00
28.25,2609.00
19.20,56338.00
27.40,4395.00
27.65,6925.00
22.40,25372.00
21.00,22440.00
9.45,16483.00
13.55,115700.00
1.70,13611.00
10.55,26032.00
17.10,9808.00
23.80,1457.00
13.05,4830.00
19.95,10791.00
8.10,4677.00
9.25,69715.00
10.55,50851.00
24.90,7154.00
27.15,1443.00
27.00,5884.00
5.70,1700.00
9.80,19783.00
1.50,78128.00
25.60,41150.00
20.20,6662.00
27.60,13215.00
25.40,36370.00
25.25,4271.00
23.55,14528.00
19.60,15273.00
25.55,10344.00
7.85,42466.00
15.15,42067.00
27.15,113675.00
8.80,38097.00
-5.35,31967.00
17.85,2836.00
26.70,5882.00
11.85,72070.00
23.75,4710.00
24.65,55802.00
27.85,4113.00
10.55,24084.00
27.15,37661.00
26.05,1972.00
26.45,131426.00
6.80,38620.00
8.90,49968.00
25.65,2336.00
27.05,1322.00
17.75,15556.00
11.50,53574.00
13.30,46551.00
26.95,14230.00
26.90,4450.00
25.70,17350.00
1.75,63877.00
5.10,84469.00
17.75,6374.00
6.40,4803.00
22.35,3374.00
26.30,21114.00
27.15,2619.00
25.25,6663.00
25.75,29797.00
19.20,12490.00
9.90,38759.00
15.10,18875.00
27.65,5844.00
22.80,3018.00
8.30,14326.00
26.65,77272.00
8.45,55862.00
8.55,75180.00
17.55,27233.00
12.05,9478.00
23.95,2858.00
25.35,7108.00
24.45,13075.00
23.85,2136.00
21.40,3808.00
21.00,2555.00
